ReturnID,OrderID,CustomerID,ReturnDate,Reason,RefundAmount,RestockingFee,Country,Region
RET000025,ORD00048237,CUST001804,21/10/2025,Defective,463.43,81.35,Australia,South
RET000026,ORD00014952,CUST001087,08/12/2022,Changed mind,44.33,0.45,UK,South
RET000027,ORD00026158,CUST004822,26/12/2023,Damage in shipping,78.1,11.76,Germany,North
RET000028,ORD00036434,CUST000108,14/12/2020,Better price found,51.12,2.34,Japan,Central
RET000029,ORD00023096,CUST001612,28/11/2023,Wrong item,82.51,13.12,USA,North
RET000030,ORD00004092,CUST002196,02/06/2024,Better price found,699.31,144.02,Japan,South
RET000031,ORD00011592,CUST004481,20/11/2024,Defective,262.28,21.03,Canada,North
RET000032,ORD00037067,CUST001441,16/02/2021,Changed mind,43.02,7.31,Canada,South
RET000033,ORD00035507,CUST003437,06/07/2026,Better price found,219.92,29.92,India,South
RET000034,ORD00043051,CUST000432,13/03/2026,Quality issue,407.19,58.11,India,Central
RET000035,ORD00041851,CUST001045,06/04/2025,Not as described,32,4.5,Japan,East
RET000036,ORD00023590,CUST003015,31/01/2026,Damage in shipping,113.26,3.63,UK,South
RET000037,ORD00000262,CUST004506,29/12/2026,Not as described,25.89,1.68,Japan,South
RET000038,ORD00005875,CUST001581,10/02/2025,Changed mind,84.51,7.48,France,Central
RET000039,ORD00010310,CUST004000,19/11/2024,Quality issue,270.75,7.89,Australia,Central
RET000040,ORD00034824,CUST003344,22/01/2023,No longer needed,449.19,48.95,Canada,West
RET000041,ORD00017016,CUST001823,08/02/2026,Better price found,270.09,23.74,Canada,West
RET000042,ORD00046056,CUST001066,05/11/2024,No longer needed,62.28,7.49,UK,North
RET000043,ORD00038385,CUST000265,22/06/2024,Quality issue,107.66,10.64,UK,North
RET000044,ORD00016583,CUST001358,12/11/2021,Wrong item,150.7,14.91,France,North
RET000045,ORD00019478,CUST004848,11/08/2024,Not as described,260.08,52.79,India,West
RET000046,ORD00025136,CUST001839,06/12/2020,No longer needed,91.71,5.46,Canada,East
RET000047,ORD00012621,CUST003403,04/10/2025,Not as described,118.54,10.25,India,West
RET000048,ORD00025281,CUST003007,12/03/2022,Wrong item,386.02,49.3,Japan,Central
RET000049,ORD00004874,CUST004530,03/05/2022,Not as described,13.09,0.44,UK,Central
RET000050,ORD00029677,CUST001322,23/02/2021,Wrong item,43.96,0.26,UK,West
RET000051,ORD00004184,CUST002914,14/08/2024,Quality issue,147.72,6.44,France,South
RET000052,ORD00033904,CUST001364,11/11/2022,Better price found,24.27,0.82,Japan,East
RET000053,ORD00015062,CUST001371,22/07/2025,Not as described,157.8,8.97,UK,South
RET000054,ORD00036662,CUST002870,10/01/2026,No longer needed,242.89,23.84,Australia,North
RET000055,ORD00044610,CUST004817,20/05/2026,Wrong item,830.57,76.8,Germany,East
RET000056,ORD00028230,CUST004133,04/08/2022,Quality issue,66.89,11.54,Japan,Central
RET000057,ORD00044243,CUST004927,15/10/2026,Defective,82.3,8.84,Canada,East
RET000058,ORD00030223,CUST002615,02/10/2023,Damage in shipping,43.52,3.13,India,South
RET000059,ORD00029076,CUST002379,27/11/2024,No longer needed,352.86,26.83,Australia,West
RET000060,ORD00037158,CUST001445,14/09/2022,Defective,728.86,102.6,Japan,East
RET000061,ORD00041194,CUST000298,22/03/2022,Better price found,36.49,4.17,Canada,North
RET000062,ORD00019382,CUST003756,31/05/2023,Quality issue,10.14,0.31,UK,South
RET000063,ORD00029973,CUST001319,08/03/2024,Defective,142.1,12.33,Canada,West
RET000064,ORD00013462,CUST002515,19/06/2025,Better price found,158.23,25.56,Canada,Central
RET000065,ORD00031299,CUST002779,18/01/2024,Better price found,610.74,77.46,India,Central
RET000066,ORD00018281,CUST002098,24/10/2021,Defective,51.8,1.32,Japan,East
RET000067,ORD00046310,CUST004550,18/08/2024,Quality issue,60.24,3.22,UK,East
RET000068,ORD00040868,CUST004047,28/12/2026,No longer needed,1340.75,119.06,Germany,North
RET000069,ORD00004955,CUST003855,21/05/2022,Wrong item,117.46,14.84,USA,North
RET000070,ORD00008777,CUST003563,30/01/2025,Changed mind,200.14,26.73,Australia,South
RET000071,ORD00014665,CUST000135,20/02/2026,Wrong item,458.49,74.22,Japan,South
RET000072,ORD00044883,CUST003843,06/03/2022,Damage in shipping,69.01,7.48,Germany,Central
RET000073,ORD00005273,CUST003810,12/04/2021,Wrong item,11.61,0.29,USA,Central
RET000074,ORD00000377,CUST001916,23/05/2024,Not as described,71.06,1.88,Japan,North
RET000075,ORD00019261,CUST003826,03/09/2020,Not as described,52.84,0.65,France,South
RET000076,ORD00021302,CUST000777,26/04/2020,Better price found,146.38,19.16,Australia,North
RET000077,ORD00000882,CUST002555,23/08/2025,Damage in shipping,450.96,44.26,USA,East
RET000078,ORD00010185,CUST000565,08/11/2025,Not as described,114.66,10.83,Japan,North
RET000079,ORD00048532,CUST001158,26/07/2023,Quality issue,35.14,2.33,USA,West
RET000080,ORD00039536,CUST002631,16/07/2025,Not as described,62.88,3.56,France,North
RET000081,ORD00043322,CUST004156,24/10/2023,Better price found,175.4,8.97,India,West
RET000082,ORD00006077,CUST003219,25/08/2023,Quality issue,81.07,10.02,France,South
RET000083,ORD00007915,CUST003559,19/02/2024,No longer needed,11.83,0.62,Australia,West
RET000084,ORD00014036,CUST001144,15/01/2025,Wrong item,387.02,0.94,Japan,West
RET000085,ORD00028887,CUST002345,19/01/2021,Damage in shipping,66.22,5.65,Japan,East
RET000086,ORD00005340,CUST004436,15/12/2020,Quality issue,57.1,2.8,USA,Central
RET000087,ORD00001680,CUST002788,08/01/2023,Quality issue,31.63,5.58,UK,West
RET000088,ORD00004393,CUST000788,08/03/2021,Not as described,152.35,26.81,India,West
RET000089,ORD00008700,CUST003457,05/08/2022,Defective,245.47,13.69,Australia,North
RET000090,ORD00044253,CUST002552,19/02/2024,Wrong item,63.13,0.33,Australia,West
RET000091,ORD00017649,CUST002501,06/12/2024,Defective,11.18,1.49,Germany,South
RET000092,ORD00018817,CUST003559,31/12/2024,Wrong item,135.08,2.12,Australia,West
RET000093,ORD00025208,CUST001602,14/09/2022,Wrong item,6.22,0.09,Germany,South
RET000094,ORD00014991,CUST004379,14/03/2022,Quality issue,193.4,2.47,USA,Central
RET000095,ORD00022186,CUST002209,15/09/2025,Better price found,990.18,155.26,Australia,North
RET000096,ORD00020217,CUST000728,18/09/2021,Defective,41.29,2.76,Australia,North
RET000097,ORD00010421,CUST002775,16/12/2025,Damage in shipping,122.02,1.11,USA,South
RET000098,ORD00017461,CUST000832,06/12/2024,Wrong item,85.26,2.15,UK,South
RET000099,ORD00042738,CUST003293,20/11/2022,No longer needed,259.1,7.39,Australia,East
RET000100,ORD00035418,CUST001747,15/01/2026,Not as described,235.12,8.52,Australia,Central
RET000101,ORD00000245,CUST000874,10/08/2025,Quality issue,74.5,1.21,France,South
RET000102,ORD00030717,CUST003141,14/07/2020,Not as described,23.37,2.1,Germany,East
RET000103,ORD00048299,CUST002725,20/06/2025,Changed mind,938.29,75.04,India,West
RET000104,ORD00017746,CUST001802,10/08/2020,Wrong item,52.5,4.11,Germany,South
RET000105,ORD00028189,CUST003443,20/06/2021,Wrong item,79.03,4.28,Germany,East
RET000106,ORD00041315,CUST004713,05/08/2024,Defective,88.68,2.36,Japan,Central
RET000107,ORD00005020,CUST003396,30/04/2020,Changed mind,100.8,8.47,India,Central
RET000108,ORD00002441,CUST001001,07/03/2024,No longer needed,99.12,4.09,Germany,North
RET000109,ORD00019055,CUST003878,05/04/2024,Quality issue,253.06,16.16,UK,West
RET000110,ORD00033725,CUST003111,02/04/2021,Quality issue,12.8,0.07,UK,East
RET000111,ORD00023505,CUST004587,24/02/2021,Wrong item,114.78,10.98,UK,South
RET000112,ORD00014668,CUST001790,24/09/2021,No longer needed,88.1,9.33,Germany,South
RET000113,ORD00016337,CUST000958,02/03/2025,Damage in shipping,999.44,50.31,UK,South
RET000114,ORD00034199,CUST003556,06/06/2023,Damage in shipping,157.36,14.22,Australia,South
RET000115,ORD00000398,CUST003295,12/11/2020,Quality issue,156.89,19.06,Canada,North
RET000116,ORD00047763,CUST003912,18/02/2023,Better price found,140.25,17.89,Australia,North
RET000117,ORD00015070,CUST001251,02/01/2021,Damage in shipping,55.06,4.24,USA,Central
RET000118,ORD00025382,CUST000317,21/06/2022,Damage in shipping,394.74,78.46,Germany,Central
RET000119,ORD00011073,CUST002614,30/09/2024,Quality issue,289.15,25.68,Japan,West
RET000120,ORD00006295,CUST004837,02/12/2024,Not as described,616.01,41.96,Germany,South
RET000121,ORD00003002,CUST000811,27/11/2026,Better price found,762.19,54.08,Canada,North
RET000122,ORD00047514,CUST003831,25/10/2024,Defective,1011.31,122.38,France,West
RET000123,ORD00044072,CUST000730,09/09/2020,Wrong item,161.66,22.35,Germany,West
RET000124,ORD00038238,CUST003554,04/05/2020,Changed mind,33.82,3.37,Australia,Central
RET000125,ORD00042854,CUST001832,02/02/2024,Wrong item,558.59,22.03,Canada,East
RET000126,ORD00030195,CUST000420,23/07/2026,Changed mind,98.93,5.2,Germany,East
RET000127,ORD00046686,CUST002398,05/10/2021,Quality issue,71.91,2.93,Japan,North
RET000128,ORD00048360,CUST003191,21/12/2023,No longer needed,146.97,12.76,USA,South
RET000129,ORD00020193,CUST004398,20/05/2022,No longer needed,98.17,14.86,India,South
RET000130,ORD00018005,CUST001781,07/06/2025,Better price found,914.21,152.14,USA,East
RET000131,ORD00002929,CUST004093,22/07/2021,Better price found,387.69,1.84,Germany,South
RET000132,ORD00034048,CUST003052,26/05/2020,Damage in shipping,83.7,13.77,India,East
RET000133,ORD00037075,CUST004137,02/04/2024,Quality issue,353.82,39.16,USA,West
RET000134,ORD00042860,CUST003229,05/04/2025,Defective,673.2,72.71,USA,North
RET000135,ORD00025457,CUST002259,08/07/2022,Wrong item,85.74,9.84,Australia,South
RET000136,ORD00013076,CUST000692,03/05/2021,Wrong item,150.81,16.6,USA,North
RET000137,ORD00011118,CUST002282,04/08/2024,Better price found,72.13,6.55,UK,West
RET000138,ORD00017252,CUST000375,12/10/2023,Not as described,756.72,113.55,UK,West
RET000139,ORD00000733,CUST002028,01/02/2026,Wrong item,111.98,11.26,India,East
RET000140,ORD00044422,CUST003969,06/04/2021,No longer needed,3.66,0.33,Australia,West
RET000141,ORD00048961,CUST003936,13/03/2021,Changed mind,17.9,0.7,UK,North
RET000142,ORD00025227,CUST001948,14/06/2021,Wrong item,172.34,15.6,Canada,West
RET000143,ORD00002630,CUST004447,23/02/2024,Quality issue,171.53,21.33,USA,South
RET000144,ORD00007858,CUST004589,11/03/2020,Quality issue,10.67,0.7,France,West
RET000145,ORD00033092,CUST001764,30/08/2025,Quality issue,295.77,27.81,Canada,Central
RET000146,ORD00037828,CUST000013,14/09/2021,Changed mind,2.55,0.47,Japan,Central
RET000147,ORD00045014,CUST003439,16/08/2024,Quality issue,45.41,4,Japan,West
RET000148,ORD00022784,CUST004180,05/03/2020,Not as described,218.27,24.25,Canada,North
RET000149,ORD00009961,CUST000348,10/08/2024,Defective,329.5,3.36,Australia,East
RET000150,ORD00001641,CUST000405,24/05/2026,Not as described,237.09,3.95,Japan,North
RET000151,ORD00010378,CUST003379,19/06/2024,Not as described,346.62,49.74,Australia,East
RET000152,ORD00034491,CUST000580,22/07/2024,Changed mind,99.17,17.35,Australia,East
RET000153,ORD00019672,CUST002271,05/05/2023,Changed mind,264.69,35.2,USA,South
RET000154,ORD00029489,CUST003462,16/02/2026,Not as described,81.98,3.63,Canada,South
RET000155,ORD00005961,CUST002927,06/10/2026,Damage in shipping,98.84,1.69,France,West
RET000156,ORD00028501,CUST004546,16/11/2023,Defective,65.62,8.56,Australia,South
RET000157,ORD00004331,CUST000140,11/03/2024,Wrong item,401.57,37.15,Australia,North
RET000158,ORD00025930,CUST002990,10/10/2026,Damage in shipping,202.44,5.22,Australia,North
RET000159,ORD00049576,CUST002992,01/07/2020,Not as described,29.32,2.07,Australia,South
RET000160,ORD00019662,CUST003575,24/11/2026,Wrong item,236.42,27.04,Japan,North
RET000161,ORD00020887,CUST001010,12/01/2026,Not as described,20.12,3.88,Germany,Central
RET000162,ORD00037779,CUST002302,31/03/2025,Defective,420.13,64.07,India,West
RET000163,ORD00011490,CUST004894,12/02/2023,Changed mind,52.69,8.78,India,South
RET000164,ORD00010790,CUST004833,28/09/2021,Better price found,178.16,9.8,Germany,Central
RET000165,ORD00049478,CUST000961,25/01/2021,Changed mind,145.05,7.35,UK,North
RET000166,ORD00023779,CUST000025,20/09/2022,Changed mind,112.52,8.84,India,East
RET000167,ORD00001827,CUST001556,10/07/2023,Not as described,20.04,0.54,Germany,Central
RET000168,ORD00003030,CUST002393,21/01/2022,Not as described,381.32,13.68,Canada,South
RET000169,ORD00010250,CUST001497,22/07/2023,Changed mind,129.05,8.63,Japan,South
RET000170,ORD00045475,CUST002671,17/03/2020,Wrong item,77.37,8.48,USA,South
RET000171,ORD00003293,CUST003393,26/07/2020,Defective,39.86,0.69,USA,North
RET000172,ORD00023277,CUST001168,25/02/2022,Damage in shipping,91.82,7.37,UK,East
RET000173,ORD00002348,CUST003510,12/09/2022,Defective,41.2,4.25,Germany,West
RET000174,ORD00049399,CUST000167,04/05/2026,Wrong item,194.89,25.53,Japan,Central
RET000175,ORD00009731,CUST002380,20/11/2022,Not as described,172.12,19,Germany,Central
RET000176,ORD00008479,CUST004638,28/03/2026,Wrong item,491.24,63.37,UK,West
RET000177,ORD00043808,CUST000769,30/10/2026,Damage in shipping,14.2,2.27,USA,North
RET000178,ORD00009683,CUST002558,10/02/2025,Quality issue,47.44,1.5,Australia,West
RET000179,ORD00000008,CUST003784,26/01/2027,Damage in shipping,524.51,9.33,Australia,South
RET000180,ORD00014074,CUST000543,06/01/2023,Not as described,112.29,2.06,Germany,South
RET000181,ORD00005583,CUST002491,03/03/2020,Defective,53.73,7.19,France,South
RET000182,ORD00013449,CUST004356,12/09/2024,Changed mind,587.26,60.56,India,West
RET000183,ORD00041875,CUST002699,25/10/2022,Not as described,101.85,17.08,Canada,North
RET000184,ORD00012055,CUST004517,18/07/2021,Defective,40.59,5.71,Canada,North
RET000185,ORD00030666,CUST001728,11/05/2026,Defective,279.07,13.17,Australia,North
RET000186,ORD00049514,CUST002519,09/12/2020,Not as described,21.67,2.47,France,South
RET000187,ORD00036964,CUST001473,05/11/2026,Changed mind,63.34,3.74,India,Central
RET000188,ORD00028464,CUST003862,12/09/2020,No longer needed,165.9,21.13,India,West
RET000189,ORD00025960,CUST001812,03/10/2021,No longer needed,235.82,21.9,UK,East
RET000190,ORD00004114,CUST004389,22/03/2026,Not as described,43.51,3.78,USA,East
RET000191,ORD00007331,CUST001964,06/07/2022,Wrong item,114.1,6.36,Australia,East
RET000192,ORD00014459,CUST001019,20/01/2023,Quality issue,170.43,1.94,Australia,North
RET000193,ORD00020421,CUST003314,16/03/2026,No longer needed,46.73,1.18,Germany,Central
RET000194,ORD00011381,CUST001981,07/11/2020,Wrong item,97.68,14.55,Australia,South
RET000195,ORD00024638,CUST002886,22/05/2025,Wrong item,7.16,0.8,Canada,North
RET000196,ORD00007918,CUST002361,13/10/2025,Damage in shipping,652.11,80.84,Japan,Central
RET000197,ORD00004736,CUST000855,18/08/2021,Changed mind,0.41,0.06,Australia,East
RET000198,ORD00003755,CUST001611,24/10/2025,Quality issue,466.03,77.27,India,South
RET000199,ORD00016989,CUST000680,23/12/2025,Quality issue,799.2,8.15,Australia,East
RET000200,ORD00011649,CUST002458,24/09/2022,Damage in shipping,83.84,9.01,USA,West
RET000201,ORD00047943,CUST002768,20/06/2020,Wrong item,133.2,15.05,Germany,West
RET000202,ORD00015621,CUST002574,04/05/2020,Damage in shipping,92.63,3.19,Canada,North
RET000203,ORD00041782,CUST001725,26/04/2025,Quality issue,54.1,5.65,UK,West
RET000204,ORD00018190,CUST002842,06/04/2026,Changed mind,801.04,69.15,India,Central
RET000205,ORD00006762,CUST000934,11/07/2021,Defective,4.5,0.42,Canada,South
RET000206,ORD00005011,CUST000961,31/01/2022,Wrong item,616.87,27.46,UK,North
RET000207,ORD00016761,CUST002595,04/05/2020,Changed mind,195.28,2.26,Japan,North
RET000208,ORD00002351,CUST003369,19/09/2022,Wrong item,94.87,3.09,France,South
RET000209,ORD00041243,CUST004212,08/07/2024,Wrong item,272.85,27.7,India,East
RET000210,ORD00003351,CUST001764,20/03/2022,No longer needed,177.64,26.34,Canada,Central
RET000211,ORD00006328,CUST002836,20/05/2026,Not as described,55.85,7.13,Germany,North
RET000212,ORD00002723,CUST000903,05/02/2026,Defective,12.15,1.75,Germany,Central
RET000213,ORD00034807,CUST002597,23/08/2025,Quality issue,95.92,2.4,Germany,West
RET000214,ORD00045432,CUST000137,05/02/2024,Defective,96.5,0.11,USA,East
RET000215,ORD00000858,CUST000593,25/06/2020,No longer needed,199.48,14.92,India,South
RET000216,ORD00013803,CUST001043,13/09/2021,Defective,362.98,40.14,Canada,East
RET000217,ORD00000551,CUST000134,21/04/2026,Not as described,149.9,27.06,Japan,South
RET000218,ORD00039195,CUST000616,20/03/2021,Damage in shipping,229.81,44.86,India,Central
RET000219,ORD00042221,CUST000917,01/02/2022,Better price found,259.06,42.31,USA,South
RET000220,ORD00038757,CUST001074,24/12/2026,Better price found,87.03,17.19,UK,South
RET000221,ORD00025335,CUST004146,03/01/2026,Wrong item,1.68,0.26,USA,Central
RET000222,ORD00031727,CUST001507,01/10/2026,No longer needed,153.11,16.85,Germany,North
RET000223,ORD00034762,CUST003507,23/07/2025,Changed mind,30.55,4.62,UK,West
RET000224,ORD00010937,CUST004723,15/08/2025,Damage in shipping,311.43,5.32,Germany,North
RET000225,ORD00003192,CUST004815,11/11/2023,Defective,45.86,3.15,Australia,East
RET000226,ORD00000410,CUST002118,12/03/2024,No longer needed,378.99,55.08,Australia,North
RET000227,ORD00005151,CUST001078,10/05/2025,Better price found,534.6,72.28,Canada,South
RET000228,ORD00033354,CUST000394,23/05/2020,Not as described,33.25,4.55,Canada,North
RET000229,ORD00000851,CUST000374,15/03/2023,Quality issue,213.38,12.69,France,West
RET000230,ORD00021520,CUST004499,25/03/2021,Damage in shipping,154.94,24.56,Japan,Central
RET000231,ORD00026282,CUST001413,15/10/2021,Not as described,81.9,8,France,Central
RET000232,ORD00009211,CUST001527,17/02/2022,Not as described,197.38,26.44,Australia,East
RET000233,ORD00009187,CUST003016,09/07/2022,Changed mind,168.12,17.45,Japan,South
RET000234,ORD00046745,CUST004468,11/11/2022,Wrong item,63.49,10.97,Australia,West
RET000235,ORD00029936,CUST001475,10/03/2026,Defective,584.17,81.83,France,West
RET000236,ORD00019057,CUST004375,22/01/2027,Not as described,494.55,47.8,USA,Central
RET000237,ORD00014430,CUST003039,10/11/2025,Damage in shipping,540.67,59.58,Japan,West
RET000238,ORD00030878,CUST004182,18/03/2025,No longer needed,361.17,24.45,USA,North
RET000239,ORD00040500,CUST003023,08/08/2024,Changed mind,53.24,1.05,Germany,Central
RET000240,ORD00027632,CUST001229,18/07/2020,No longer needed,121.09,8.54,France,South
RET000241,ORD00001136,CUST003905,04/02/2027,Changed mind,276.68,24.81,USA,West
RET000242,ORD00035614,CUST002528,31/07/2023,No longer needed,62.53,8.66,Australia,North
RET000243,ORD00006511,CUST003485,26/01/2025,Damage in shipping,53.01,7.18,UK,East
RET000244,ORD00027529,CUST001328,17/08/2024,Changed mind,36.61,2.55,UK,Central
RET000245,ORD00016843,CUST001646,12/06/2026,Defective,139.27,16.06,USA,North
RET000246,ORD00024689,CUST000747,02/10/2022,Changed mind,44.53,8.02,Australia,South
RET000247,ORD00002179,CUST004344,28/01/2020,Better price found,130.32,2.85,Germany,South
RET000248,ORD00001911,CUST004951,07/02/2020,Wrong item,8.14,1.27,Australia,South
RET000249,ORD00027018,CUST002814,21/05/2024,Better price found,229.06,30.93,India,Central
RET000250,ORD00013142,CUST004011,27/07/2024,Better price found,6.82,0.81,UK,West
RET000251,ORD00042198,CUST004039,07/11/2026,Wrong item,84.55,9.55,France,South
RET000252,ORD00049708,CUST000416,20/10/2026,Changed mind,565.46,31.9,Japan,Central
RET000253,ORD00049949,CUST004507,11/05/2021,Better price found,43.59,0.69,Germany,North
RET000254,ORD00042769,CUST004291,14/10/2025,Wrong item,206.86,24.83,Canada,East
RET000255,ORD00048777,CUST001333,03/09/2025,Wrong item,70.43,6.17,UK,Central
RET000256,ORD00030634,CUST000628,13/12/2025,Changed mind,6.25,0.22,Germany,South
RET000257,ORD00018336,CUST004725,15/10/2026,Changed mind,772.9,100.65,Australia,Central
RET000258,ORD00025393,CUST002182,23/12/2024,Defective,75.72,4.95,USA,South
RET000259,ORD00043114,CUST001394,01/11/2023,Defective,55.76,9.77,Germany,East
RET000260,ORD00048540,CUST004464,31/07/2025,Quality issue,225.71,32.3,USA,East
RET000261,ORD00002698,CUST004871,09/01/2024,No longer needed,146.24,3.81,India,Central
RET000262,ORD00049149,CUST004116,28/02/2024,Quality issue,200.77,26.84,UK,South
RET000263,ORD00014961,CUST000470,28/07/2025,Better price found,141.02,5.91,UK,West
RET000264,ORD00037654,CUST002305,02/09/2022,Not as described,195.41,18.57,USA,West
RET000265,ORD00022441,CUST002930,26/10/2023,Better price found,248.96,1.81,France,Central
RET000266,ORD00003076,CUST003479,02/10/2020,Damage in shipping,22.1,2.18,India,East
RET000267,ORD00043219,CUST002610,26/06/2020,Quality issue,94.66,1.98,Canada,North
RET000268,ORD00019049,CUST003781,25/09/2021,Changed mind,38.3,0.06,Australia,North
RET000269,ORD00022242,CUST000250,16/11/2020,Damage in shipping,151.13,4.77,Germany,South
RET000270,ORD00020961,CUST002965,28/02/2020,Quality issue,12.05,1.32,India,East
RET000271,ORD00022160,CUST003055,12/11/2023,Quality issue,449.96,28.19,Australia,South
RET000272,ORD00044478,CUST004616,27/12/2024,Not as described,126.6,17.67,India,West
RET000273,ORD00025194,CUST003899,28/12/2022,Not as described,81.39,6.14,Japan,Central
RET000274,ORD00039710,CUST000738,07/04/2023,Defective,30.43,4.77,Germany,East
RET000275,ORD00028118,CUST002279,20/01/2021,No longer needed,197.63,30.42,Japan,Central
RET000276,ORD00015551,CUST001064,15/05/2024,Damage in shipping,133.25,17.05,USA,North
RET000277,ORD00014584,CUST000294,01/10/2026,No longer needed,81.51,0.87,UK,South
RET000278,ORD00010616,CUST001613,10/08/2026,Better price found,386.53,62.96,Japan,Central
RET000279,ORD00024612,CUST002317,19/10/2026,Wrong item,468.99,17.16,UK,West
RET000280,ORD00049008,CUST000262,31/05/2021,Better price found,320.97,17.74,France,West
RET000281,ORD00048873,CUST004320,18/07/2021,Not as described,65.94,6.24,Germany,East
RET000282,ORD00015244,CUST001939,13/09/2024,Quality issue,379.69,37.36,India,North
RET000283,ORD00021281,CUST000381,27/02/2023,Damage in shipping,610.26,97.33,Australia,Central
RET000284,ORD00040738,CUST001925,24/04/2024,Wrong item,86.45,5.18,USA,South
RET000285,ORD00042056,CUST000691,25/11/2023,Defective,125.39,5.94,India,East
RET000286,ORD00047335,CUST004938,17/06/2020,Wrong item,5.93,0.35,USA,Central
RET000287,ORD00042224,CUST000568,30/08/2026,Defective,536.22,2.13,Japan,South
RET000288,ORD00032563,CUST000658,17/12/2020,Not as described,17.64,2.67,Canada,West
RET000289,ORD00040990,CUST001775,14/06/2026,Not as described,215.8,26.34,Japan,Central
RET000290,ORD00042199,CUST003903,25/03/2021,Changed mind,123.67,0.78,Germany,North
RET000291,ORD00003268,CUST003070,16/12/2022,Quality issue,181.47,1.91,Australia,North
RET000292,ORD00000369,CUST000749,07/01/2022,Wrong item,441.44,54.62,France,South
RET000293,ORD00029715,CUST002842,26/01/2020,Changed mind,36.91,4.04,India,Central
RET000294,ORD00000986,CUST002823,22/12/2024,Not as described,19.65,2.35,France,South
RET000295,ORD00004515,CUST001984,11/01/2021,Not as described,156.23,15.34,Australia,South
RET000296,ORD00015438,CUST003559,01/12/2022,No longer needed,791.64,29.95,Australia,West
RET000297,ORD00040720,CUST003549,24/11/2020,Defective,268.58,24.22,Japan,Central
RET000298,ORD00025816,CUST000251,09/05/2022,Damage in shipping,129.06,19.23,France,South
RET000299,ORD00035115,CUST004653,24/08/2020,Defective,7.41,1.4,UK,North
RET000300,ORD00014090,CUST002370,28/08/2021,Quality issue,34.9,1.94,Japan,Central
RET000301,ORD00021691,CUST002253,20/01/2026,Damage in shipping,274.43,1.84,India,North
RET000302,ORD00025495,CUST004751,13/01/2025,Wrong item,336.9,59.22,UK,South
RET000303,ORD00004715,CUST001598,04/01/2024,Not as described,195.24,28.27,India,West
RET000304,ORD00032447,CUST002839,15/11/2026,Better price found,16.39,2.06,Australia,South
RET000305,ORD00020903,CUST002654,12/01/2026,Damage in shipping,183.74,13.08,Australia,South
RET000306,ORD00012280,CUST001458,29/05/2024,Not as described,276.68,28.6,Australia,West
RET000307,ORD00038512,CUST002244,03/01/2027,Not as described,114.29,12.77,Australia,North
RET000308,ORD00029589,CUST001884,21/10/2024,Changed mind,776.97,33.68,France,South
RET000309,ORD00001507,CUST003766,25/12/2022,Wrong item,868.74,154.08,India,South
RET000310,ORD00009687,CUST004447,05/08/2025,No longer needed,782.91,110.93,USA,South
RET000311,ORD00027927,CUST000349,16/03/2020,Not as described,39.61,4.97,USA,South
RET000312,ORD00020375,CUST002426,13/04/2022,No longer needed,0.93,0.14,Australia,South
RET000313,ORD00039858,CUST000286,05/10/2025,No longer needed,242.47,13.77,France,North
RET000314,ORD00014501,CUST004843,04/11/2025,Not as described,712.02,29.88,USA,North
