OrderID,OrderDate,CustomerID,TotalAmount,OrderStatus,ShippingDate,DeliveryDate,Country,Region,Category
ORD00000092,09/07/2024,CUST003715,474.25,Completed,11/07/2024,14/07/2024,Australia,Central,Fashion
ORD00000093,14/01/2020,CUST004229,22.6,Completed,19/01/2020,23/01/2020,USA,South,Toys
ORD00000094,11/05/2021,CUST002066,110.88,Completed,12/05/2021,15/05/2021,UK,East,Office Supplies
ORD00000095,04/04/2020,CUST004749,7.94,Completed,05/04/2020,10/04/2020,France,West,Toys
ORD00000096,20/08/2022,CUST001138,100.32,Completed,24/08/2022,03/09/2022,Germany,East,Home & Kitchen
ORD00000097,11/07/2026,CUST004358,639.52,Completed,16/07/2026,19/07/2026,Australia,West,Sports
ORD00000098,09/05/2024,CUST000073,309.29,Completed,14/05/2024,22/05/2024,India,West,Fashion
ORD00000099,14/05/2023,CUST004451,1024.24,Pending,15/05/2023,,India,East,Pet Supplies
ORD00000100,21/02/2026,CUST003484,99.12,Returned,25/02/2026,06/03/2026,France,Central,Home & Kitchen
ORD00000101,30/09/2022,CUST000333,132.89,Completed,01/10/2022,08/10/2022,USA,North,Beauty
ORD00000102,16/06/2022,CUST002041,72.07,Completed,20/06/2022,24/06/2022,Canada,Central,Fashion
ORD00000103,27/09/2022,CUST003651,111.75,Pending,28/09/2022,,Australia,West,Sports
ORD00000104,13/11/2025,CUST000698,825.43,Completed,16/11/2025,24/11/2025,Canada,North,Automotive
ORD00000105,27/11/2022,CUST002702,298.99,Completed,02/12/2022,09/12/2022,Canada,West,Home & Kitchen
ORD00000106,06/09/2021,CUST000149,314.84,Completed,08/09/2021,11/09/2021,France,North,Books
ORD00000107,07/10/2020,CUST002974,24.54,Completed,09/10/2020,15/10/2020,India,Central,Fashion
ORD00000108,11/02/2023,CUST003383,387.67,Completed,15/02/2023,23/02/2023,India,South,Sports
ORD00000109,16/03/2024,CUST004709,15.73,Completed,21/03/2024,28/03/2024,Germany,Central,Home & Kitchen
ORD00000110,11/07/2026,CUST002240,1011.95,Completed,15/07/2026,20/07/2026,UK,South,Home & Kitchen
ORD00000111,07/08/2020,CUST000783,40.19,Completed,08/08/2020,15/08/2020,Australia,East,Automotive
ORD00000112,06/03/2020,CUST001141,31.21,Pending,11/03/2020,,USA,South,Automotive
ORD00000113,07/09/2025,CUST001247,228.68,Completed,09/09/2025,19/09/2025,Japan,Central,Office Supplies
ORD00000114,09/09/2026,CUST002368,1021.9,Completed,10/09/2026,19/09/2026,Japan,West,Sports
ORD00000115,30/07/2021,CUST000276,9.08,Completed,04/08/2021,08/08/2021,UK,West,Fashion
ORD00000116,28/07/2025,CUST002147,177.16,Pending,31/07/2025,,UK,North,Electronics
ORD00000117,30/03/2025,CUST001863,582.12,Completed,02/04/2025,08/04/2025,France,South,Office Supplies
ORD00000118,12/08/2024,CUST002553,137.55,Cancelled,,,Australia,West,Office Supplies
ORD00000119,29/06/2022,CUST002822,40.38,Completed,03/07/2022,10/07/2022,Australia,East,Beauty
ORD00000120,23/12/2020,CUST001307,84.04,Completed,28/12/2020,02/01/2021,Japan,Central,Books
ORD00000121,09/03/2026,CUST002720,165.66,Completed,10/03/2026,19/03/2026,France,Central,Automotive
ORD00000122,11/10/2020,CUST001448,267.58,Completed,14/10/2020,17/10/2020,Germany,Central,Beauty
ORD00000123,20/03/2023,CUST003257,305.4,Shipped,21/03/2023,,Japan,East,Books
ORD00000124,06/09/2020,CUST003807,73.32,Completed,11/09/2020,14/09/2020,India,East,Sports
ORD00000125,19/12/2022,CUST003494,1170.33,Completed,23/12/2022,27/12/2022,France,West,Beauty
ORD00000126,07/06/2021,CUST004601,85.38,Completed,09/06/2021,19/06/2021,Germany,North,Electronics
ORD00000127,20/12/2020,CUST000243,9.09,Completed,21/12/2020,26/12/2020,Germany,East,Sports
ORD00000128,01/04/2022,CUST001042,52.13,Completed,06/04/2022,15/04/2022,Germany,Central,Books
ORD00000129,08/10/2020,CUST002875,61.85,Completed,09/10/2020,16/10/2020,Japan,South,Pet Supplies
ORD00000130,20/12/2025,CUST003066,73.41,Completed,21/12/2025,30/12/2025,Australia,East,Beauty
ORD00000131,17/11/2024,CUST002664,1089.06,Cancelled,,,Japan,East,Pet Supplies
ORD00000132,25/11/2022,CUST002557,377.24,Completed,29/11/2022,06/12/2022,Germany,North,Beauty
ORD00000133,28/12/2021,CUST001183,65.11,Completed,01/01/2022,07/01/2022,UK,Central,Fashion
ORD00000134,13/05/2023,CUST003137,195.81,Completed,14/05/2023,18/05/2023,Canada,South,Books
ORD00000135,25/09/2023,CUST001939,300.34,Completed,26/09/2023,02/10/2023,India,North,Automotive
ORD00000136,20/06/2023,CUST004029,633.87,Completed,22/06/2023,30/06/2023,USA,Central,Home & Kitchen
ORD00000137,05/04/2026,CUST003456,732.62,Completed,06/04/2026,15/04/2026,Germany,South,Home & Kitchen
ORD00000138,30/12/2025,CUST001386,312.52,Pending,01/01/2026,,India,North,Sports
ORD00000139,19/02/2021,CUST001034,165.91,Completed,23/02/2021,28/02/2021,UK,East,Beauty
ORD00000140,02/06/2024,CUST003712,218.39,Completed,03/06/2024,12/06/2024,Germany,West,Sports
ORD00000141,05/05/2024,CUST002877,210.1,Cancelled,,,Germany,Central,Sports
ORD00000142,16/06/2021,CUST002262,16.75,Cancelled,,,India,North,Toys
ORD00000143,20/12/2026,CUST003621,65.5,Shipped,24/12/2026,,France,South,Sports
ORD00000144,15/12/2024,CUST004184,281.76,Completed,18/12/2024,25/12/2024,France,Central,Beauty
ORD00000145,22/04/2025,CUST003827,94.72,Completed,23/04/2025,26/04/2025,Germany,Central,Fashion
ORD00000146,30/04/2022,CUST002963,3.72,Completed,01/05/2022,05/05/2022,Japan,East,Electronics
ORD00000147,21/09/2025,CUST002485,411,Completed,26/09/2025,03/10/2025,France,North,Sports
ORD00000148,19/08/2021,CUST001029,4.79,Completed,21/08/2021,28/08/2021,Canada,Central,Toys
ORD00000149,08/05/2022,CUST002520,158.93,Completed,09/05/2022,18/05/2022,UK,South,Office Supplies
ORD00000150,29/03/2024,CUST004487,198.97,Pending,31/03/2024,,USA,East,Toys
ORD00000151,09/09/2021,CUST000712,511.22,Completed,12/09/2021,21/09/2021,UK,Central,Electronics
ORD00000152,01/11/2022,CUST004953,169.11,Completed,04/11/2022,11/11/2022,USA,North,Beauty
ORD00000153,12/06/2026,CUST001410,23.08,Cancelled,,,Japan,West,Automotive
ORD00000154,06/02/2023,CUST002319,150.09,Completed,07/02/2023,11/02/2023,Germany,West,Beauty
ORD00000155,13/11/2026,CUST004040,883.26,Completed,15/11/2026,19/11/2026,Japan,Central,Pet Supplies
ORD00000156,15/12/2025,CUST001203,2473.2,Completed,19/12/2025,28/12/2025,Australia,East,Books
ORD00000157,14/08/2022,CUST002513,105.35,Completed,16/08/2022,23/08/2022,Germany,East,Sports
ORD00000158,11/08/2025,CUST004119,121.81,Completed,13/08/2025,20/08/2025,Germany,North,Sports
ORD00000159,31/07/2026,CUST003439,1100.71,Completed,05/08/2026,14/08/2026,Japan,West,Home & Kitchen
ORD00000160,17/07/2024,CUST002128,74.42,Completed,18/07/2024,22/07/2024,France,West,Pet Supplies
ORD00000161,16/02/2021,CUST000359,106.09,Completed,18/02/2021,26/02/2021,USA,East,Electronics
ORD00000162,27/06/2023,CUST001607,116.78,Completed,30/06/2023,05/07/2023,Canada,North,Toys
ORD00000163,09/10/2022,CUST000241,8.13,Completed,10/10/2022,13/10/2022,UK,West,Office Supplies
ORD00000164,27/06/2023,CUST004325,95.74,Completed,01/07/2023,07/07/2023,France,East,Home & Kitchen
ORD00000165,27/07/2025,CUST001166,125.7,Completed,28/07/2025,06/08/2025,USA,Central,Home & Kitchen
ORD00000166,04/08/2020,CUST000479,116.27,Completed,06/08/2020,12/08/2020,Canada,Central,Books
ORD00000167,06/03/2021,CUST004872,372.87,Completed,10/03/2021,13/03/2021,Australia,Central,Sports
ORD00000168,24/11/2020,CUST000733,46.04,Completed,27/11/2020,30/11/2020,UK,West,Toys
ORD00000169,09/05/2022,CUST002440,293.35,Completed,13/05/2022,19/05/2022,France,Central,Automotive
ORD00000170,14/03/2021,CUST004067,7.2,Completed,15/03/2021,25/03/2021,Japan,West,Sports
ORD00000171,22/03/2026,CUST003400,263.92,Completed,23/03/2026,27/03/2026,France,South,Toys
ORD00000172,08/05/2024,CUST001275,19.13,Completed,11/05/2024,14/05/2024,USA,West,Pet Supplies
ORD00000173,09/09/2025,CUST002117,866.95,Completed,10/09/2025,17/09/2025,UK,South,Toys
ORD00000174,26/03/2025,CUST004292,435.16,Shipped,29/03/2025,,Australia,North,Pet Supplies
ORD00000175,08/02/2020,CUST000987,76.72,Completed,09/02/2020,19/02/2020,UK,East,Fashion
ORD00000176,27/10/2023,CUST001831,414.6,Completed,30/10/2023,03/11/2023,France,Central,Office Supplies
ORD00000177,02/04/2020,CUST003872,89.47,Completed,04/04/2020,14/04/2020,France,East,Automotive
ORD00000178,10/11/2025,CUST000029,1472.21,Completed,14/11/2025,24/11/2025,Japan,North,Office Supplies
ORD00000179,18/09/2026,CUST000461,454.08,Completed,20/09/2026,29/09/2026,France,South,Books
ORD00000180,09/03/2021,CUST003496,325.34,Completed,10/03/2021,14/03/2021,France,North,Beauty
ORD00000181,26/11/2026,CUST003851,351.02,Completed,28/11/2026,04/12/2026,India,North,Toys
ORD00000182,06/09/2026,CUST004818,44.99,Completed,10/09/2026,20/09/2026,UK,West,Automotive
ORD00000183,09/05/2021,CUST004387,99.89,Completed,11/05/2021,17/05/2021,UK,South,Automotive
ORD00000184,14/06/2020,CUST003666,12.8,Completed,18/06/2020,22/06/2020,Canada,East,Fashion
ORD00000185,29/01/2020,CUST001492,63.25,Completed,01/02/2020,09/02/2020,France,Central,Beauty
ORD00000186,12/12/2023,CUST003814,209.06,Completed,17/12/2023,22/12/2023,France,Central,Beauty
ORD00000187,18/11/2022,CUST002402,251.41,Completed,20/11/2022,25/11/2022,India,Central,Home & Kitchen
ORD00000188,23/05/2022,CUST003238,1.79,Completed,25/05/2022,29/05/2022,UK,West,Books
ORD00000189,19/05/2024,CUST004793,56.95,Completed,20/05/2024,29/05/2024,Japan,Central,Home & Kitchen
ORD00000190,03/10/2026,CUST003133,246.42,Completed,08/10/2026,18/10/2026,France,West,Sports
ORD00000191,29/11/2022,CUST003264,780.6,Completed,03/12/2022,13/12/2022,Canada,North,Home & Kitchen
ORD00000192,31/12/2023,CUST000544,154.97,Completed,04/01/2024,08/01/2024,India,South,Office Supplies
ORD00000193,04/10/2022,CUST004736,106.7,Completed,07/10/2022,12/10/2022,Germany,North,Books
ORD00000194,01/01/2021,CUST002637,133.15,Completed,02/01/2021,11/01/2021,USA,North,Fashion
ORD00000195,06/05/2023,CUST001190,202.12,Completed,10/05/2023,20/05/2023,India,North,Toys
ORD00000196,09/02/2020,CUST001783,25.44,Completed,11/02/2020,18/02/2020,USA,West,Books
ORD00000197,03/10/2021,CUST002311,79.48,Completed,05/10/2021,09/10/2021,UK,West,Automotive
ORD00000198,14/12/2026,CUST004409,119.05,Completed,16/12/2026,23/12/2026,USA,Central,Beauty
ORD00000199,28/01/2026,CUST002399,1021.04,Completed,02/02/2026,05/02/2026,Japan,North,Home & Kitchen
ORD00000200,11/02/2020,CUST002470,10.06,Completed,12/02/2020,16/02/2020,Canada,Central,Automotive
ORD00000201,04/03/2020,CUST002592,38.31,Completed,06/03/2020,10/03/2020,France,South,Sports
ORD00000202,17/02/2024,CUST000584,5.94,Completed,21/02/2024,29/02/2024,Canada,East,Fashion
ORD00000203,03/03/2026,CUST003180,85.11,Completed,06/03/2026,12/03/2026,UK,Central,Sports
ORD00000204,04/08/2022,CUST002704,282.08,Completed,06/08/2022,10/08/2022,UK,South,Beauty
ORD00000205,17/01/2021,CUST000026,24.23,Completed,20/01/2021,24/01/2021,UK,West,Automotive
ORD00000206,05/02/2023,CUST004086,15.6,Completed,09/02/2023,14/02/2023,France,Central,Books
ORD00000207,02/07/2025,CUST004142,259.92,Completed,07/07/2025,11/07/2025,Germany,South,Books
ORD00000208,03/08/2023,CUST003871,2.29,Completed,05/08/2023,13/08/2023,UK,North,Automotive
ORD00000209,31/03/2021,CUST001121,11.37,Completed,05/04/2021,15/04/2021,France,East,Pet Supplies
ORD00000210,11/07/2025,CUST002700,668.24,Completed,12/07/2025,20/07/2025,UK,Central,Books
ORD00000211,24/04/2026,CUST004078,510.05,Completed,29/04/2026,07/05/2026,UK,North,Automotive
ORD00000212,29/11/2022,CUST001268,640.6,Shipped,03/12/2022,,USA,Central,Automotive
ORD00000213,05/07/2020,CUST004904,242.66,Completed,09/07/2020,18/07/2020,Australia,South,Beauty
ORD00000214,18/03/2020,CUST001258,96.59,Completed,21/03/2020,30/03/2020,Australia,West,Automotive
ORD00000215,23/02/2024,CUST002296,12.22,Completed,27/02/2024,08/03/2024,Canada,North,Office Supplies
ORD00000216,01/08/2021,CUST000301,218.14,Completed,04/08/2021,08/08/2021,USA,South,Beauty
ORD00000217,21/04/2020,CUST003774,164.4,Completed,23/04/2020,03/05/2020,USA,West,Automotive
ORD00000218,16/05/2021,CUST002963,214.73,Completed,20/05/2021,30/05/2021,Japan,East,Books
ORD00000219,17/12/2025,CUST001884,305.17,Completed,21/12/2025,24/12/2025,France,South,Office Supplies
ORD00000220,05/06/2022,CUST000801,47.46,Completed,09/06/2022,15/06/2022,France,Central,Automotive
ORD00000221,11/12/2025,CUST000131,800.26,Shipped,13/12/2025,,France,West,Home & Kitchen
ORD00000222,29/04/2023,CUST000598,282.49,Completed,02/05/2023,10/05/2023,Japan,South,Office Supplies
ORD00000223,23/02/2025,CUST001484,1051.28,Completed,27/02/2025,04/03/2025,Japan,North,Pet Supplies
ORD00000224,23/09/2023,CUST002127,39.73,Completed,27/09/2023,06/10/2023,USA,North,Home & Kitchen
ORD00000225,27/08/2021,CUST003694,37.31,Completed,29/08/2021,05/09/2021,France,East,Automotive
ORD00000226,06/07/2020,CUST003676,30,Completed,10/07/2020,15/07/2020,Japan,North,Fashion
ORD00000227,12/02/2020,CUST003649,113.14,Completed,16/02/2020,21/02/2020,India,North,Fashion
ORD00000228,12/05/2025,CUST000554,63.07,Pending,14/05/2025,,Canada,South,Sports
ORD00000229,02/05/2022,CUST004494,12.07,Completed,06/05/2022,11/05/2022,France,West,Fashion
ORD00000230,06/01/2024,CUST004946,1455.05,Completed,08/01/2024,17/01/2024,Canada,East,Office Supplies
ORD00000231,26/08/2025,CUST003893,7.97,Completed,31/08/2025,03/09/2025,India,North,Automotive
ORD00000232,14/12/2022,CUST004236,472.43,Returned,19/12/2022,25/12/2022,India,Central,Toys
ORD00000233,23/12/2021,CUST000472,94.43,Completed,26/12/2021,01/01/2022,Canada,North,Office Supplies
ORD00000234,29/11/2022,CUST000050,478.55,Completed,02/12/2022,07/12/2022,Canada,Central,Fashion
ORD00000235,26/04/2025,CUST001639,245.02,Completed,01/05/2025,05/05/2025,Germany,Central,Home & Kitchen
ORD00000236,02/09/2023,CUST004884,538.66,Completed,06/09/2023,13/09/2023,Canada,Central,Home & Kitchen
ORD00000237,06/02/2020,CUST002575,185.84,Completed,08/02/2020,16/02/2020,India,Central,Office Supplies
ORD00000238,12/08/2024,CUST003689,2.49,Completed,13/08/2024,23/08/2024,USA,North,Fashion
ORD00000239,09/08/2025,CUST002778,24.72,Completed,12/08/2025,21/08/2025,UK,North,Toys
ORD00000240,11/11/2020,CUST004807,41.95,Completed,12/11/2020,19/11/2020,UK,West,Toys
ORD00000241,25/08/2021,CUST001483,161.18,Completed,29/08/2021,07/09/2021,Japan,South,Books
ORD00000242,17/06/2021,CUST003731,301.49,Completed,19/06/2021,24/06/2021,France,North,Beauty
ORD00000243,19/12/2021,CUST001207,127.56,Completed,23/12/2021,27/12/2021,France,South,Books
ORD00000244,18/03/2025,CUST003040,278.63,Completed,22/03/2025,26/03/2025,UK,North,Beauty
ORD00000245,07/07/2025,CUST000874,84.55,Completed,11/07/2025,18/07/2025,France,South,Fashion
ORD00000246,07/10/2021,CUST004450,246.34,Completed,10/10/2021,17/10/2021,France,West,Fashion
ORD00000247,12/03/2026,CUST003311,1164.91,Completed,17/03/2026,20/03/2026,Japan,South,Toys
ORD00000248,15/03/2024,CUST001440,79.81,Completed,16/03/2024,19/03/2024,India,East,Pet Supplies
ORD00000249,29/04/2022,CUST004789,119.26,Completed,01/05/2022,06/05/2022,India,West,Books
ORD00000250,19/08/2024,CUST004659,24.64,Completed,24/08/2024,31/08/2024,UK,South,Automotive
ORD00000251,25/01/2022,CUST003257,120.6,Completed,28/01/2022,01/02/2022,Japan,East,Beauty
ORD00000252,05/09/2020,CUST003460,72.74,Completed,10/09/2020,14/09/2020,Germany,West,Automotive
ORD00000253,19/01/2025,CUST003806,40.93,Pending,20/01/2025,,Canada,Central,Beauty
ORD00000254,25/11/2020,CUST003278,86.18,Completed,27/11/2020,30/11/2020,Australia,Central,Toys
ORD00000255,03/11/2023,CUST000089,126.63,Completed,04/11/2023,10/11/2023,Canada,West,Pet Supplies
ORD00000256,04/05/2022,CUST001514,129.29,Completed,08/05/2022,13/05/2022,France,North,Automotive
ORD00000257,05/11/2022,CUST002291,225.58,Completed,09/11/2022,13/11/2022,Japan,Central,Automotive
ORD00000258,09/12/2024,CUST001310,3.18,Completed,14/12/2024,24/12/2024,UK,South,Automotive
ORD00000259,09/11/2024,CUST001980,526.98,Completed,14/11/2024,20/11/2024,Japan,North,Toys
ORD00000260,24/04/2026,CUST000267,431.35,Completed,28/04/2026,06/05/2026,Japan,North,Home & Kitchen
ORD00000261,01/12/2022,CUST000499,118.6,Shipped,03/12/2022,,UK,East,Home & Kitchen
ORD00000262,27/11/2026,CUST004506,26.23,Completed,30/11/2026,06/12/2026,Japan,South,Automotive
ORD00000263,12/10/2026,CUST001843,514.13,Completed,14/10/2026,19/10/2026,UK,Central,Toys
ORD00000264,13/07/2025,CUST001477,1259.75,Shipped,18/07/2025,,USA,Central,Books
ORD00000265,17/10/2021,CUST004691,41.71,Completed,18/10/2021,24/10/2021,France,East,Electronics
ORD00000266,26/11/2023,CUST000392,123.09,Cancelled,,,India,Central,Beauty
ORD00000267,25/04/2026,CUST003517,70.21,Completed,26/04/2026,05/05/2026,Australia,North,Books
