OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,Discount,LineTotal,Category
ORD00000014-04,ORD00000014,PROD00062,1,276.51,0.05,262.68,Home & Kitchen
ORD00000015-01,ORD00000015,PROD00083,1,194.55,0.1,175.1,Sports
ORD00000015-02,ORD00000015,PROD00270,1,201.35,0,201.35,Toys
ORD00000015-03,ORD00000015,PROD00257,4,74.35,0.05,282.53,Beauty
ORD00000015-04,ORD00000015,PROD00164,1,227.35,0.15,193.25,Home & Kitchen
ORD00000016-01,ORD00000016,PROD00040,1,96.87,0.15,82.34,Beauty
ORD00000016-02,ORD00000016,PROD00317,4,79.33,0.15,269.72,Toys
ORD00000016-03,ORD00000016,PROD00019,5,106.39,0,531.95,Beauty
ORD00000016-04,ORD00000016,PROD00406,5,77.52,0,387.6,Automotive
ORD00000016-05,ORD00000016,PROD00189,1,180.88,0,180.88,Sports
ORD00000017-01,ORD00000017,PROD00302,4,180.49,0,721.96,Fashion
ORD00000017-02,ORD00000017,PROD00275,5,121.14,0.15,514.85,Toys
ORD00000017-03,ORD00000017,PROD00403,1,63.59,0,63.59,Pet Supplies
ORD00000018-01,ORD00000018,PROD00029,1,46,0.15,39.1,Home & Kitchen
ORD00000018-02,ORD00000018,PROD00383,1,225.75,0,225.75,Fashion
ORD00000019-01,ORD00000019,PROD00169,2,46.51,0.15,79.07,Office Supplies
ORD00000020-01,ORD00000020,PROD00230,3,57.81,0.15,147.42,Books
ORD00000020-02,ORD00000020,PROD00462,6,100.12,0.1,540.65,Electronics
ORD00000021-01,ORD00000021,PROD00418,5,87.55,0,437.75,Fashion
ORD00000021-02,ORD00000021,PROD00310,1,132.26,0,132.26,Beauty
ORD00000022-01,ORD00000022,PROD00393,5,140.87,0.05,669.13,Toys
ORD00000022-02,ORD00000022,PROD00404,2,107.52,0,215.04,Automotive
ORD00000022-03,ORD00000022,PROD00317,1,79.33,0,79.33,Toys
ORD00000023-01,ORD00000023,PROD00391,2,103.77,0,207.54,Home & Kitchen
ORD00000023-02,ORD00000023,PROD00041,2,75.51,0.15,128.37,Sports
ORD00000023-03,ORD00000023,PROD00277,1,229.12,0.15,194.75,Pet Supplies
ORD00000024-01,ORD00000024,PROD00021,1,162.52,0.15,138.14,Electronics
ORD00000025-01,ORD00000025,PROD00225,2,59.67,0.1,107.41,Pet Supplies
ORD00000025-02,ORD00000025,PROD00486,1,99.73,0,99.73,Books
ORD00000026-01,ORD00000026,PROD00341,1,160.35,0.1,144.31,Sports
ORD00000027-01,ORD00000027,PROD00417,4,40.31,0.15,137.05,Beauty
ORD00000027-02,ORD00000027,PROD00250,4,44.68,0.15,151.91,Pet Supplies
ORD00000027-03,ORD00000027,PROD00402,1,97.21,0,97.21,Office Supplies
ORD00000028-01,ORD00000028,PROD00283,1,235.33,0.05,223.56,Books
ORD00000029-01,ORD00000029,PROD00397,3,111.86,0.1,302.02,Electronics
ORD00000029-02,ORD00000029,PROD00117,1,93.36,0.05,88.69,Home & Kitchen
ORD00000030-01,ORD00000030,PROD00010,1,43.54,0,43.54,Office Supplies
ORD00000030-02,ORD00000030,PROD00448,5,271.98,0,1359.9,Automotive
ORD00000030-03,ORD00000030,PROD00395,2,85.1,0,170.2,Fashion
ORD00000030-04,ORD00000030,PROD00155,1,139.45,0,139.45,Office Supplies
ORD00000031-01,ORD00000031,PROD00495,12,75.43,0,905.16,Sports
ORD00000032-01,ORD00000032,PROD00004,1,318.42,0.15,270.66,Home & Kitchen
ORD00000032-02,ORD00000032,PROD00364,2,91.35,0.15,155.29,Pet Supplies
ORD00000032-03,ORD00000032,PROD00323,4,73.95,0.05,281.01,Home & Kitchen
ORD00000032-04,ORD00000032,PROD00340,5,190.29,0,951.45,Sports
ORD00000032-05,ORD00000032,PROD00185,1,97.33,0.15,82.73,Sports
ORD00000033-01,ORD00000033,PROD00436,1,78.14,0,78.14,Fashion
ORD00000034-01,ORD00000034,PROD00094,3,131.45,0,394.35,Home & Kitchen
ORD00000034-02,ORD00000034,PROD00480,5,142,0.1,639,Sports
ORD00000034-03,ORD00000034,PROD00401,1,190.69,0,190.69,Toys
ORD00000035-01,ORD00000035,PROD00165,1,148.31,0,148.31,Books
ORD00000036-01,ORD00000036,PROD00219,1,331.26,0,331.26,Automotive
ORD00000036-02,ORD00000036,PROD00254,1,56.04,0.05,53.24,Pet Supplies
ORD00000036-03,ORD00000036,PROD00230,2,57.81,0.15,98.28,Books
ORD00000036-04,ORD00000036,PROD00039,4,96.51,0,386.04,Office Supplies
ORD00000036-05,ORD00000036,PROD00049,1,114.08,0.05,108.38,Office Supplies
ORD00000037-01,ORD00000037,PROD00235,3,58.89,0.05,167.84,Pet Supplies
ORD00000037-02,ORD00000037,PROD00159,1,155.33,0.1,139.8,Books
ORD00000038-01,ORD00000038,PROD00462,5,100.12,0.1,450.54,Electronics
ORD00000038-02,ORD00000038,PROD00412,2,566.3,0,1132.6,Books
ORD00000038-03,ORD00000038,PROD00308,1,636.89,0,636.89,Automotive
ORD00000039-01,ORD00000039,PROD00360,4,67.3,0,269.2,Electronics
ORD00000039-02,ORD00000039,PROD00287,1,116.93,0,116.93,Books
ORD00000039-03,ORD00000039,PROD00294,1,62.33,0.1,56.1,Sports
ORD00000040-01,ORD00000040,PROD00371,2,20.64,0.05,39.22,Fashion
ORD00000040-02,ORD00000040,PROD00375,1,55.19,0.05,52.43,Automotive
ORD00000041-01,ORD00000041,PROD00336,4,243.93,0.1,878.15,Office Supplies
ORD00000041-02,ORD00000041,PROD00486,1,99.73,0.15,84.77,Books
ORD00000042-01,ORD00000042,PROD00083,3,194.55,0.1,525.28,Sports
ORD00000042-02,ORD00000042,PROD00205,5,99.11,0.15,421.22,Toys
ORD00000042-03,ORD00000042,PROD00330,3,105.47,0,316.41,Books
ORD00000042-04,ORD00000042,PROD00403,1,63.59,0,63.59,Pet Supplies
ORD00000042-05,ORD00000042,PROD00143,1,495.93,0.05,471.13,Fashion
ORD00000043-01,ORD00000043,PROD00255,1,93.58,0.15,79.54,Books
ORD00000044-01,ORD00000044,PROD00366,1,105.29,0,105.29,Fashion
ORD00000044-02,ORD00000044,PROD00449,1,78.75,0.15,66.94,Home & Kitchen
ORD00000045-01,ORD00000045,PROD00033,1,172.44,0.05,163.82,Beauty
ORD00000046-01,ORD00000046,PROD00331,1,56.89,0.05,54.05,Books
ORD00000046-02,ORD00000046,PROD00245,1,347.13,0,347.13,Fashion
ORD00000047-01,ORD00000047,PROD00094,1,131.45,0,131.45,Home & Kitchen
ORD00000048-01,ORD00000048,PROD00461,2,212.49,0,424.98,Sports
ORD00000048-02,ORD00000048,PROD00387,5,149.3,0.05,709.17,Automotive
ORD00000048-03,ORD00000048,PROD00277,1,229.12,0.15,194.75,Pet Supplies
ORD00000049-01,ORD00000049,PROD00288,5,174.78,0.15,742.81,Books
ORD00000049-02,ORD00000049,PROD00345,1,158.98,0.1,143.08,Beauty
ORD00000049-03,ORD00000049,PROD00183,1,156.35,0.15,132.9,Electronics
ORD00000050-01,ORD00000050,PROD00188,1,503.98,0.1,453.58,Pet Supplies
ORD00000051-01,ORD00000051,PROD00271,4,175.66,0,702.64,Office Supplies
ORD00000051-02,ORD00000051,PROD00313,1,322,0,322,Electronics
ORD00000052-01,ORD00000052,PROD00168,1,196.39,0.1,176.75,Fashion
ORD00000053-01,ORD00000053,PROD00161,2,97.28,0.15,165.38,Beauty
ORD00000053-02,ORD00000053,PROD00184,1,107.69,0,107.69,Beauty
ORD00000054-01,ORD00000054,PROD00420,4,197.84,0,791.36,Books
ORD00000054-02,ORD00000054,PROD00035,1,120.22,0,120.22,Home & Kitchen
ORD00000055-01,ORD00000055,PROD00485,5,87.17,0,435.85,Beauty
ORD00000055-02,ORD00000055,PROD00110,1,61.05,0.15,51.89,Office Supplies
ORD00000055-03,ORD00000055,PROD00091,1,148.49,0.15,126.22,Automotive
ORD00000055-04,ORD00000055,PROD00265,1,110.81,0,110.81,Sports
ORD00000056-01,ORD00000056,PROD00183,2,156.35,0.15,265.79,Electronics
ORD00000056-02,ORD00000056,PROD00032,2,37.15,0.1,66.87,Beauty
ORD00000056-03,ORD00000056,PROD00097,1,106.83,0,106.83,Books
ORD00000057-01,ORD00000057,PROD00341,2,160.35,0.15,272.59,Sports
ORD00000057-02,ORD00000057,PROD00472,1,151.44,0,151.44,Books
ORD00000058-01,ORD00000058,PROD00134,2,332.26,0.1,598.07,Automotive
ORD00000058-02,ORD00000058,PROD00331,5,56.89,0,284.45,Books
ORD00000058-03,ORD00000058,PROD00425,1,54.04,0,54.04,Toys
ORD00000059-01,ORD00000059,PROD00052,2,68.43,0.15,116.33,Beauty
ORD00000059-02,ORD00000059,PROD00205,4,99.11,0.05,376.62,Toys
ORD00000059-03,ORD00000059,PROD00029,1,46,0,46,Home & Kitchen
ORD00000060-01,ORD00000060,PROD00028,3,205.37,0,616.11,Sports
ORD00000060-02,ORD00000060,PROD00064,14,40.75,0,570.5,Books
ORD00000061-01,ORD00000061,PROD00145,5,112.71,0.15,479.02,Home & Kitchen
ORD00000061-02,ORD00000061,PROD00287,3,116.93,0,350.79,Books
ORD00000061-03,ORD00000061,PROD00296,1,95.32,0.15,81.02,Sports
ORD00000062-01,ORD00000062,PROD00134,1,332.26,0,332.26,Automotive
ORD00000063-01,ORD00000063,PROD00293,2,104.11,0.15,176.99,Electronics
ORD00000063-02,ORD00000063,PROD00040,3,96.87,0.05,276.08,Beauty
ORD00000063-03,ORD00000063,PROD00058,3,77.18,0,231.54,Toys
ORD00000063-04,ORD00000063,PROD00319,1,173.91,0,173.91,Automotive
ORD00000064-01,ORD00000064,PROD00040,5,96.87,0,484.35,Beauty
ORD00000064-02,ORD00000064,PROD00441,5,679.63,0.15,2888.43,Home & Kitchen
ORD00000064-03,ORD00000064,PROD00167,1,95.65,0.15,81.3,Fashion
ORD00000065-01,ORD00000065,PROD00167,4,95.65,0.1,344.34,Fashion
ORD00000065-02,ORD00000065,PROD00085,1,73.97,0,73.97,Beauty
ORD00000065-03,ORD00000065,PROD00491,1,168.79,0,168.79,Fashion
ORD00000065-04,ORD00000065,PROD00489,1,62.69,0,62.69,Office Supplies
ORD00000066-01,ORD00000066,PROD00015,5,55.67,0.05,264.43,Books
ORD00000067-01,ORD00000067,PROD00291,3,118.01,0.05,336.33,Beauty
ORD00000067-02,ORD00000067,PROD00137,1,228.27,0.1,205.44,Automotive
ORD00000067-03,ORD00000067,PROD00432,4,310.44,0.1,1117.58,Office Supplies
ORD00000067-04,ORD00000067,PROD00473,1,394.38,0.05,374.66,Automotive
ORD00000067-05,ORD00000067,PROD00150,1,172.48,0,172.48,Home & Kitchen
ORD00000068-01,ORD00000068,PROD00053,5,79.12,0,395.6,Fashion
ORD00000068-02,ORD00000068,PROD00012,5,95.01,0,475.05,Automotive
ORD00000068-03,ORD00000068,PROD00388,2,148.03,0,296.06,Books
ORD00000068-04,ORD00000068,PROD00389,1,50.31,0.05,47.79,Sports
ORD00000068-05,ORD00000068,PROD00370,1,341.17,0.1,307.05,Home & Kitchen
ORD00000069-01,ORD00000069,PROD00206,1,159.06,0.15,135.2,Books
ORD00000069-02,ORD00000069,PROD00375,1,55.19,0,55.19,Automotive
ORD00000070-01,ORD00000070,PROD00169,3,46.51,0.1,125.58,Office Supplies
ORD00000070-02,ORD00000070,PROD00467,1,28.26,0,28.26,Home & Kitchen
ORD00000070-03,ORD00000070,PROD00426,3,54.68,0.05,155.84,Office Supplies
ORD00000071-01,ORD00000071,PROD00387,5,149.3,0,746.5,Automotive
ORD00000071-02,ORD00000071,PROD00499,4,379.23,0,1516.92,Office Supplies
ORD00000071-03,ORD00000071,PROD00486,5,99.73,0.15,423.85,Books
ORD00000071-04,ORD00000071,PROD00143,5,495.93,0.05,2355.67,Fashion
ORD00000071-05,ORD00000071,PROD00221,1,122.39,0,122.39,Books
ORD00000072-01,ORD00000072,PROD00417,2,40.31,0,80.62,Beauty
ORD00000072-02,ORD00000072,PROD00031,1,61.35,0,61.35,Books
ORD00000072-03,ORD00000072,PROD00488,2,62.99,0.15,107.08,Fashion
ORD00000072-04,ORD00000072,PROD00418,1,87.55,0,87.55,Fashion
ORD00000072-05,ORD00000072,PROD00344,1,74.27,0.05,70.56,Toys
ORD00000073-01,ORD00000073,PROD00233,2,82.28,0.1,148.1,Sports
ORD00000074-01,ORD00000074,PROD00174,3,28.26,0.05,80.54,Toys
ORD00000074-02,ORD00000074,PROD00122,3,134.83,0,404.49,Toys
ORD00000075-01,ORD00000075,PROD00326,4,395.11,0.05,1501.42,Beauty
ORD00000075-02,ORD00000075,PROD00098,4,103.39,0,413.56,Sports
ORD00000075-03,ORD00000075,PROD00088,1,112.32,0.1,101.09,Sports
ORD00000076-01,ORD00000076,PROD00149,2,184.87,0,369.74,Fashion
ORD00000076-02,ORD00000076,PROD00291,1,118.01,0.15,100.31,Beauty
ORD00000077-01,ORD00000077,PROD00095,5,45.72,0.1,205.74,Beauty
ORD00000077-02,ORD00000077,PROD00475,3,86.79,0,260.37,Office Supplies
ORD00000077-03,ORD00000077,PROD00059,1,87.55,0,87.55,Automotive
ORD00000078-01,ORD00000078,PROD00186,1,91.8,0,91.8,Fashion
ORD00000079-01,ORD00000079,PROD00423,4,102.84,0,411.36,Beauty
ORD00000079-02,ORD00000079,PROD00061,3,169.5,0.05,483.07,Office Supplies
ORD00000079-03,ORD00000079,PROD00256,2,111.76,0.1,201.17,Books
ORD00000079-04,ORD00000079,PROD00215,1,209.92,0,209.92,Toys
ORD00000080-01,ORD00000080,PROD00209,1,311.35,0.05,295.78,Beauty
ORD00000081-01,ORD00000081,PROD00215,4,209.92,0.15,713.73,Toys
ORD00000081-02,ORD00000081,PROD00497,3,73.87,0,221.61,Books
ORD00000081-03,ORD00000081,PROD00142,3,320.16,0,960.48,Books
ORD00000081-04,ORD00000081,PROD00195,1,192.55,0,192.55,Books
ORD00000082-01,ORD00000082,PROD00235,4,58.89,0,235.56,Pet Supplies
ORD00000083-01,ORD00000083,PROD00161,2,97.28,0.15,165.38,Beauty
ORD00000083-02,ORD00000083,PROD00269,2,45.23,0.1,81.41,Beauty
ORD00000083-03,ORD00000083,PROD00297,7,132.05,0,924.35,Pet Supplies
ORD00000084-01,ORD00000084,PROD00408,5,205.51,0,1027.55,Sports
ORD00000084-02,ORD00000084,PROD00091,3,148.49,0,445.47,Automotive
ORD00000084-03,ORD00000084,PROD00348,1,144.67,0.15,122.97,Home & Kitchen
ORD00000084-04,ORD00000084,PROD00401,1,190.69,0,190.69,Toys
ORD00000085-01,ORD00000085,PROD00416,9,30.71,0,276.39,Toys
ORD00000086-01,ORD00000086,PROD00412,2,566.3,0,1132.6,Books
ORD00000086-02,ORD00000086,PROD00111,5,573.48,0.05,2724.03,Fashion
ORD00000086-03,ORD00000086,PROD00462,1,100.12,0,100.12,Electronics
ORD00000087-01,ORD00000087,PROD00331,5,56.89,0,284.45,Books
ORD00000087-02,ORD00000087,PROD00087,3,84.63,0,253.89,Home & Kitchen
ORD00000087-03,ORD00000087,PROD00141,1,98.57,0.15,83.78,Beauty
ORD00000088-01,ORD00000088,PROD00086,1,44.19,0.05,41.98,Office Supplies
ORD00000088-02,ORD00000088,PROD00479,5,118.41,0,592.05,Sports
ORD00000088-03,ORD00000088,PROD00344,2,74.27,0,148.54,Toys
ORD00000088-04,ORD00000088,PROD00397,2,111.86,0.05,212.53,Electronics
ORD00000088-05,ORD00000088,PROD00221,1,122.39,0.15,104.03,Books
ORD00000089-01,ORD00000089,PROD00414,1,318.51,0.15,270.73,Pet Supplies
ORD00000089-02,ORD00000089,PROD00091,3,148.49,0.1,400.92,Automotive
ORD00000089-03,ORD00000089,PROD00409,1,111.46,0.15,94.74,Books
ORD00000090-01,ORD00000090,PROD00458,3,83.41,0.1,225.21,Pet Supplies
ORD00000090-02,ORD00000090,PROD00480,3,142,0,426,Sports
ORD00000090-03,ORD00000090,PROD00344,5,74.27,0.15,315.65,Toys
ORD00000090-04,ORD00000090,PROD00050,1,90.39,0,90.39,Automotive
ORD00000091-01,ORD00000091,PROD00019,3,106.39,0.05,303.21,Beauty
ORD00000091-02,ORD00000091,PROD00225,3,59.67,0.15,152.16,Pet Supplies
ORD00000091-03,ORD00000091,PROD00042,1,293.63,0.1,264.27,Beauty
ORD00000091-04,ORD00000091,PROD00109,1,48.51,0,48.51,Sports
ORD00000092-01,ORD00000092,PROD00361,3,115.15,0,345.45,Fashion
ORD00000092-02,ORD00000092,PROD00221,5,122.39,0.05,581.35,Books
ORD00000092-03,ORD00000092,PROD00064,5,40.75,0,203.75,Books
ORD00000092-04,ORD00000092,PROD00417,2,40.31,0.15,68.53,Beauty
ORD00000092-05,ORD00000092,PROD00161,1,97.28,0.1,87.55,Beauty
ORD00000093-01,ORD00000093,PROD00450,1,236.32,0.05,224.5,Toys
ORD00000093-02,ORD00000093,PROD00489,3,62.69,0,188.07,Office Supplies
ORD00000093-03,ORD00000093,PROD00033,4,172.44,0,689.76,Beauty
ORD00000093-04,ORD00000093,PROD00408,1,205.51,0.15,174.68,Sports
ORD00000094-01,ORD00000094,PROD00263,4,48.88,0.05,185.74,Office Supplies
ORD00000094-02,ORD00000094,PROD00489,3,62.69,0.1,169.26,Office Supplies
ORD00000094-03,ORD00000094,PROD00153,1,88.52,0,88.52,Office Supplies
ORD00000095-01,ORD00000095,PROD00401,4,190.69,0,762.76,Toys
ORD00000095-02,ORD00000095,PROD00146,1,76.21,0,76.21,Pet Supplies
ORD00000096-01,ORD00000096,PROD00373,5,136.2,0.15,578.85,Home & Kitchen
ORD00000096-02,ORD00000096,PROD00010,5,43.54,0,217.7,Office Supplies
ORD00000096-03,ORD00000096,PROD00473,1,394.38,0.05,374.66,Automotive
ORD00000097-01,ORD00000097,PROD00479,5,118.41,0,592.05,Sports
ORD00000097-02,ORD00000097,PROD00058,1,77.18,0,77.18,Toys
ORD00000097-03,ORD00000097,PROD00231,1,433.45,0,433.45,Sports
ORD00000098-01,ORD00000098,PROD00172,2,109.51,0.05,208.07,Fashion
ORD00000099-01,ORD00000099,PROD00365,2,58.45,0.05,111.06,Pet Supplies
ORD00000099-02,ORD00000099,PROD00245,2,347.13,0,694.26,Fashion
ORD00000099-03,ORD00000099,PROD00475,5,86.79,0.1,390.56,Office Supplies
ORD00000099-04,ORD00000099,PROD00431,1,105.88,0,105.88,Sports
ORD00000100-01,ORD00000100,PROD00468,5,128,0,640,Home & Kitchen
ORD00000100-02,ORD00000100,PROD00447,3,211.31,0.05,602.23,Toys
ORD00000100-03,ORD00000100,PROD00052,4,68.43,0,273.72,Beauty
ORD00000100-04,ORD00000100,PROD00070,1,172.57,0,172.57,Fashion
ORD00000101-01,ORD00000101,PROD00129,1,248.02,0.05,235.62,Beauty
ORD00000102-01,ORD00000102,PROD00047,1,51.33,0.05,48.76,Fashion
ORD00000102-02,ORD00000102,PROD00079,3,400.46,0,1201.38,Home & Kitchen
ORD00000102-03,ORD00000102,PROD00064,4,40.75,0,163,Books
ORD00000102-04,ORD00000102,PROD00245,1,347.13,0.1,312.42,Fashion
ORD00000103-01,ORD00000103,PROD00011,3,290.77,0.05,828.69,Sports
ORD00000103-02,ORD00000103,PROD00379,1,133.57,0,133.57,Books
ORD00000103-03,ORD00000103,PROD00332,3,87.69,0,263.07,Office Supplies
ORD00000103-04,ORD00000103,PROD00224,4,120.7,0,482.8,Pet Supplies
ORD00000103-05,ORD00000103,PROD00376,1,43.01,0,43.01,Office Supplies
ORD00000104-01,ORD00000104,PROD00180,2,116.53,0.1,209.75,Automotive
ORD00000104-02,ORD00000104,PROD00494,2,299.68,0,599.36,Pet Supplies
ORD00000105-01,ORD00000105,PROD00368,1,205.06,0,205.06,Home & Kitchen
ORD00000106-01,ORD00000106,PROD00221,1,122.39,0.1,110.15,Books
ORD00000106-02,ORD00000106,PROD00152,4,163.67,0.05,621.95,Fashion
ORD00000106-03,ORD00000106,PROD00244,1,53.66,0,53.66,Home & Kitchen
ORD00000106-04,ORD00000106,PROD00110,1,61.05,0,61.05,Office Supplies
ORD00000107-01,ORD00000107,PROD00366,1,105.29,0.05,100.03,Fashion
ORD00000107-02,ORD00000107,PROD00447,4,211.31,0.15,718.45,Toys
ORD00000107-03,ORD00000107,PROD00395,4,85.1,0,340.4,Fashion
ORD00000107-04,ORD00000107,PROD00025,1,118.5,0.05,112.57,Automotive
ORD00000108-01,ORD00000108,PROD00480,5,142,0.05,674.5,Sports
ORD00000108-02,ORD00000108,PROD00022,1,82.06,0,82.06,Office Supplies
ORD00000108-03,ORD00000108,PROD00493,5,89.76,0.15,381.48,Automotive
ORD00000108-04,ORD00000108,PROD00155,3,139.45,0.1,376.52,Office Supplies
ORD00000108-05,ORD00000108,PROD00432,1,310.44,0,310.44,Office Supplies
ORD00000109-01,ORD00000109,PROD00229,1,82.63,0,82.63,Home & Kitchen
ORD00000109-02,ORD00000109,PROD00004,5,318.42,0,1592.1,Home & Kitchen
ORD00000109-03,ORD00000109,PROD00098,2,103.39,0,206.78,Sports
ORD00000109-04,ORD00000109,PROD00299,4,72.54,0.05,275.65,Pet Supplies
ORD00000109-05,ORD00000109,PROD00383,1,225.75,0.1,203.18,Fashion
ORD00000110-01,ORD00000110,PROD00449,12,78.75,0.15,803.25,Home & Kitchen
ORD00000111-01,ORD00000111,PROD00278,2,117.93,0,235.86,Automotive
ORD00000111-02,ORD00000111,PROD00155,1,139.45,0.1,125.5,Office Supplies
ORD00000112-01,ORD00000112,PROD00309,5,98.25,0,491.25,Automotive
ORD00000112-02,ORD00000112,PROD00137,2,228.27,0.15,388.06,Automotive
ORD00000112-03,ORD00000112,PROD00485,1,87.17,0.15,74.09,Beauty
ORD00000112-04,ORD00000112,PROD00231,1,433.45,0,433.45,Sports
ORD00000113-01,ORD00000113,PROD00039,2,96.51,0.05,183.37,Office Supplies
ORD00000114-01,ORD00000114,PROD00003,5,74.64,0,373.2,Sports
ORD00000114-02,ORD00000114,PROD00496,6,106.35,0,638.1,Books
ORD00000115-01,ORD00000115,PROD00167,2,95.65,0.05,181.74,Fashion
ORD00000115-02,ORD00000115,PROD00337,5,68.43,0.1,307.94,Pet Supplies
ORD00000115-03,ORD00000115,PROD00451,1,120.9,0,120.9,Office Supplies
ORD00000116-01,ORD00000116,PROD00360,1,67.3,0.15,57.2,Electronics
ORD00000116-02,ORD00000116,PROD00134,1,332.26,0.1,299.03,Automotive
ORD00000117-01,ORD00000117,PROD00394,3,175.41,0,526.23,Office Supplies
ORD00000117-02,ORD00000117,PROD00432,4,310.44,0,1241.76,Office Supplies
ORD00000117-03,ORD00000117,PROD00224,3,120.7,0.15,307.79,Pet Supplies
ORD00000117-04,ORD00000117,PROD00289,1,108.69,0,108.69,Pet Supplies
ORD00000118-01,ORD00000118,PROD00049,4,114.08,0.05,433.5,Office Supplies
ORD00000118-02,ORD00000118,PROD00167,1,95.65,0.1,86.09,Fashion
ORD00000119-01,ORD00000119,PROD00487,5,176.36,0,881.8,Beauty
ORD00000119-02,ORD00000119,PROD00412,4,566.3,0,2265.2,Books
ORD00000119-03,ORD00000119,PROD00065,1,97.49,0,97.49,Fashion
ORD00000119-04,ORD00000119,PROD00277,1,229.12,0.1,206.21,Pet Supplies
ORD00000120-01,ORD00000120,PROD00497,1,73.87,0,73.87,Books
ORD00000121-01,ORD00000121,PROD00059,1,87.55,0,87.55,Automotive
ORD00000121-02,ORD00000121,PROD00287,2,116.93,0,233.86,Books
ORD00000121-03,ORD00000121,PROD00441,1,679.63,0,679.63,Home & Kitchen
ORD00000122-01,ORD00000122,PROD00095,4,45.72,0.05,173.74,Beauty
ORD00000122-02,ORD00000122,PROD00118,1,500.27,0,500.27,Fashion
ORD00000122-03,ORD00000122,PROD00188,2,503.98,0,1007.96,Pet Supplies
ORD00000122-04,ORD00000122,PROD00136,1,285.15,0,285.15,Home & Kitchen
ORD00000123-01,ORD00000123,PROD00472,2,151.44,0,302.88,Books
ORD00000124-01,ORD00000124,PROD00461,4,212.49,0,849.96,Sports
ORD00000124-02,ORD00000124,PROD00441,5,679.63,0,3398.15,Home & Kitchen
ORD00000124-03,ORD00000124,PROD00107,1,193.1,0,193.1,Toys
ORD00000125-01,ORD00000125,PROD00209,4,311.35,0,1245.4,Beauty
ORD00000125-02,ORD00000125,PROD00112,5,155.87,0.15,662.45,Fashion
ORD00000125-03,ORD00000125,PROD00388,1,148.03,0.15,125.83,Books
ORD00000126-01,ORD00000126,PROD00397,3,111.86,0.1,302.02,Electronics
ORD00000126-02,ORD00000126,PROD00307,1,112.61,0,112.61,Home & Kitchen
